geography,id,name,value,source,control_size,countycomb_label
TAZ,24,hh_inc_30_60,95,Result,96,NA
TAZ,24,hh_inc_60_100,76,Result,77,NA
TAZ,24,hh_inc_100_plus,55,Result,54,NA
TAZ,24,hh_child,471,Result,471,NA
TAZ,24,hh_no_child,82,Result,83,NA
TAZ,24,num_hh,0,Difference,554,NA
TAZ,24,hh_inc_30,-1,Difference,328,NA
TAZ,24,hh_inc_30_60,-1,Difference,96,NA
TAZ,24,hh_inc_60_100,-1,Difference,77,NA
TAZ,24,hh_inc_100_plus,1,Difference,54,NA
TAZ,24,hh_child,0,Difference,471,NA
TAZ,24,hh_no_child,-1,Difference,83,NA
TAZ,25,num_hh,1261,Control,1261,NA
TAZ,25,hh_inc_30,323,Control,323,NA
TAZ,25,hh_inc_30_60,187,Control,187,NA
TAZ,25,hh_inc_60_100,206,Control,206,NA
TAZ,25,hh_inc_100_plus,396,Control,396,NA
TAZ,25,hh_child,1225,Control,1225,NA
TAZ,25,hh_no_child,36,Control,36,NA
TAZ,25,num_hh,1261,Result,1261,NA
TAZ,25,hh_inc_30,350,Result,323,NA
TAZ,25,hh_inc_30_60,201,Result,187,NA
TAZ,25,hh_inc_60_100,221,Result,206,NA
TAZ,25,hh_inc_100_plus,429,Result,396,NA
TAZ,25,hh_child,1167,Result,1225,NA
TAZ,25,hh_no_child,34,Result,36,NA
TAZ,25,num_hh,0,Difference,1261,NA
TAZ,25,hh_inc_30,27,Difference,323,NA
TAZ,25,hh_inc_30_60,14,Difference,187,NA
TAZ,25,hh_inc_60_100,15,Difference,206,NA
TAZ,25,hh_inc_100_plus,33,Difference,396,NA
TAZ,25,hh_child,-58,Difference,1225,NA
TAZ,25,hh_no_child,-2,Difference,36,NA
TAZ,26,num_hh,1137,Control,1137,NA
TAZ,26,hh_inc_30,536,Control,536,NA
TAZ,26,hh_inc_30_60,247,Control,247,NA
TAZ,26,hh_inc_60_100,171,Control,171,NA
TAZ,26,hh_inc_100_plus,144,Control,144,NA
TAZ,26,hh_child,1106,Control,1106,NA
TAZ,26,hh_no_child,31,Control,31,NA
TAZ,26,num_hh,1137,Result,1137,NA
TAZ,26,hh_inc_30,551,Result,536,NA
TAZ,26,hh_inc_30_60,252,Result,247,NA
TAZ,26,hh_inc_60_100,175,Result,171,NA
TAZ,26,hh_inc_100_plus,149,Result,144,NA
TAZ,26,hh_child,1097,Result,1106,NA
TAZ,26,hh_no_child,30,Result,31,NA
TAZ,26,num_hh,0,Difference,1137,NA
TAZ,26,hh_inc_30,15,Difference,536,NA
TAZ,26,hh_inc_30_60,5,Difference,247,NA
TAZ,26,hh_inc_60_100,4,Difference,171,NA
TAZ,26,hh_inc_100_plus,5,Difference,144,NA
TAZ,26,hh_child,-9,Difference,1106,NA
TAZ,26,hh_no_child,-1,Difference,31,NA
TAZ,27,num_hh,1201,Control,1201,NA
TAZ,27,hh_inc_30,871,Control,871,NA
TAZ,27,hh_inc_30_60,183,Control,183,NA
TAZ,27,hh_inc_60_100,72,Control,72,NA
TAZ,27,hh_inc_100_plus,38,Control,38,NA
TAZ,27,hh_child,1163,Control,1163,NA
TAZ,27,hh_no_child,38,Control,38,NA
TAZ,27,num_hh,1201,Result,1201,NA
TAZ,27,hh_inc_30,893,Result,871,NA
TAZ,27,hh_inc_30_60,187,Result,183,NA
TAZ,27,hh_inc_60_100,73,Result,72,NA
TAZ,27,hh_inc_100_plus,39,Result,38,NA
TAZ,27,hh_child,1155,Result,1163,NA
TAZ,27,hh_no_child,37,Result,38,NA
TAZ,27,num_hh,0,Difference,1201,NA
TAZ,27,hh_inc_30,22,Difference,871,NA
TAZ,27,hh_inc_30_60,4,Difference,183,NA
TAZ,27,hh_inc_60_100,1,Difference,72,NA
