TAZ,HHLESSGQ,HHCHILDNO,HHCHILDYES,HHINC1,HHINC2,HHINC3,HHINC4,HHINC5,HHINC6,HHGQYES,HHGQNO,HHBASE
290,1205,1040,165,135,123,119,99,242,487,0,2466,1205
291,951,821,130,107,97,94,78,191,384,0,1946,951
292,721,574,147,73,89,69,76,139,275,0,1711,721
293,396,315,81,40,49,38,42,76,151,0,940,396
294,542,430,112,39,57,53,59,105,229,0,1264,542
295,377,299,78,27,40,37,41,73,159,0,878,377
296,627,357,270,58,55,72,60,124,258,57,2484,684
297,631,367,264,60,45,71,64,125,266,27,2478,658
298,242,98,144,27,11,40,12,45,107,172,789,414
299,5890,2409,3481,1201,778,777,603,932,1599,0,19302,5890
300,616,488,128,44,65,60,67,119,261,36,1435,652
301,540,428,112,39,57,53,58,104,229,0,1260,540
302,3245,2871,374,328,392,403,284,628,1210,1,6428,3246
303,2011,1779,232,203,243,250,176,389,750,5,3983,2016
304,2286,1469,817,309,202,274,170,471,860,45,6691,2331
305,1281,823,458,173,113,154,95,264,482,31,3748,1312
306,776,678,98,87,90,85,61,150,303,66,1720,842
307,1613,1037,576,218,143,193,120,332,607,18,4720,1631
308,641,360,281,63,59,66,46,145,262,20,2264,661
309,1072,660,412,108,101,124,99,209,431,19,3436,1091
310,483,297,186,49,45,56,44,94,195,0,1547,483
311,456,256,200,45,42,47,33,103,186,25,1611,481
312,271,203,68,35,28,34,23,54,97,50,801,321
313,566,318,248,55,52,58,41,128,232,0,1998,566
314,443,231,212,49,29,49,29,103,184,71,1520,514
315,402,209,193,45,27,45,26,93,166,24,1381,426
316,795,401,394,95,72,85,75,154,314,38,3392,833
317,552,283,269,63,38,61,38,120,232,11,1784,563
318,567,286,281,68,51,61,53,110,224,0,2421,567
319,1257,894,363,105,140,120,138,231,523,0,3731,1257
320,397,277,120,37,43,35,32,79,171,5,1176,402
321,330,230,100,31,36,29,27,66,141,0,977,330
322,284,90,194,39,26,33,27,46,113,27,1116,311
323,418,132,286,57,38,48,39,67,169,15,1646,433
324,566,431,135,39,54,53,56,117,247,60,1485,626
325,523,398,125,36,50,49,51,108,229,22,1372,545
326,406,179,227,37,44,55,41,74,155,0,1857,406
327,1187,310,877,160,109,124,88,236,470,0,4871,1187
328,623,162,461,84,57,65,46,124,247,0,2555,623
329,367,268,99,25,38,39,29,71,165,23,941,390
330,681,497,184,47,71,73,53,131,306,36,1746,717
331,450,328,122,31,47,48,35,86,203,32,1155,482
332,640,487,153,44,62,59,63,132,280,175,1679,815
333,2490,1770,720,209,277,238,272,458,1036,4,7389,2494
334,2185,1553,632,183,243,208,239,402,910,0,6485,2185
335,677,507,170,57,68,60,73,128,291,0,1840,677
336,713,534,179,60,71,63,77,135,307,0,1938,713
337,590,442,148,50,59,53,63,112,253,0,1604,590
338,454,340,114,38,45,40,49,86,196,3,1235,457
339,250,187,63,21,25,22,27,47,108,0,679,250
340,552,313,239,40,54,48,60,106,244,22,2197,574
341,284,161,123,20,28,24,31,55,126,0,1129,284
342,443,252,191,32,43,38,49,85,196,22,1761,465
343,428,243,185,31,42,37,47,82,189,13,1704,441
344,466,265,201,33,45,40,51,90,207,59,1855,525
345,716,545,171,49,69,66,70,148,314,37,1879,753
346,1005,755,250,78,106,108,80,206,427,43,2599,1048
347,496,372,124,38,52,53,39,102,212,34,1283,530
348,387,291,96,30,41,41,31,79,165,17,1000,404
349,372,279,93,29,39,40,30,76,158,92,963,464
350,385,268,117,36,42,34,31,76,166,5,1141,390
351,785,537,248,61,82,73,63,163,343,0,2512,785
352,722,456,266,58,69,74,62,152,307,5,2073,727
353,880,603,277,68,92,82,70,182,386,22,2816,902
354,353,223,130,28,33,36,30,74,152,0,1011,353
355,600,427,173,50,61,72,47,123,247,581,2126,1181
356,528,345,183,36,59,46,57,110,220,29,1941,557
357,423,276,147,29,47,37,46,88,176,0,1556,423
358,490,320,170,34,55,43,53,102,203,0,1804,490
359,590,385,205,41,66,52,64,123,244,0,2171,590
360,410,268,142,28,46,36,45,86,169,54,1508,464
361,366,239,127,25,41,32,40,76,152,7,1349,373
362,528,316,212,47,46,60,55,105,215,6,2054,534
363,509,305,204,45,44,58,53,101,208,0,1983,509
364,378,226,152,34,33,43,39,75,154,4,1469,382
365,373,223,150,33,33,42,39,74,152,0,1453,373
366,257,153,104,30,19,30,23,49,106,28,942,285
367,382,227,155,44,29,44,33,72,160,0,1399,382
368,1291,851,440,129,97,148,129,236,552,8,4418,1299
369,401,264,137,40,30,46,40,73,172,0,1374,401
370,779,401,378,85,55,91,79,149,320,0,3172,779
371,819,466,353,86,65,84,80,171,333,0,3381,819
372,899,507,392,72,71,106,89,173,388,0,3746,899
373,541,278,263,59,39,63,55,103,222,4,2205,545
374,379,270,109,32,38,45,30,78,156,0,1342,379
375,1019,689,330,82,111,100,99,203,424,7,3988,1026
376,193,131,62,15,21,19,19,38,81,0,757,193
377,361,244,117,29,39,35,35,72,151,0,1414,361
378,224,151,73,18,24,22,22,45,93,0,877,224
379,587,349,238,48,64,43,61,124,247,15,2493,602
380,466,277,189,38,51,34,48,99,196,11,1982,477
381,393,234,159,32,43,29,41,83,165,0,1670,393
382,392,233,159,32,43,29,41,83,164,21,1665,413
383,395,235,160,32,43,29,41,84,166,45,1679,440
384,283,162,121,27,26,32,29,50,119,0,1136,283
385,400,228,172,42,32,41,39,84,162,15,1652,415
386,366,209,157,34,33,41,37,64,157,0,1465,366
387,370,221,149,35,28,36,36,72,163,0,1370,370
388,303,172,131,32,24,31,30,63,123,2,1249,305
389,443,253,190,42,40,50,45,78,188,0,1775,443
390,832,475,357,107,65,106,76,164,314,0,3459,832
391,512,257,255,52,61,57,44,102,196,24,2191,536
392,557,280,277,56,66,61,47,111,216,0,2388,557
393,432,375,57,50,61,48,43,76,154,40,961,472
394,636,551,85,74,90,71,63,111,227,112,1415,748
395,460,399,61,53,65,51,46,80,165,1,1023,461
396,789,684,105,91,112,88,79,138,281,17,1756,806
397,2699,2237,462,316,308,290,269,470,1046,502,5931,3201
398,2244,1860,384,263,256,241,223,390,871,0,4932,2244
399,2333,2152,181,450,385,293,242,367,596,19,4610,2352
400,1939,1661,278,334,254,237,198,342,574,0,3830,1939
401,577,515,62,133,90,83,56,90,125,0,1140,577
402,994,824,170,116,114,107,99,173,385,0,2185,994
403,4536,2549,1987,465,576,425,443,836,1791,0,15358,4536
404,840,472,368,86,107,79,82,155,331,0,2845,840
405,633,552,81,77,59,68,53,120,256,0,1464,633
406,1666,1576,90,221,179,185,157,301,623,0,3080,1666
407,1480,1291,189,179,138,160,124,280,599,1248,3425,2728
408,857,748,109,96,99,93,67,166,336,0,1901,857
409,12,9,3,2,1,2,1,2,4,617,37,629
410,607,311,296,69,42,67,42,132,255,1,1961,608
411,376,193,183,43,26,41,26,82,158,46,1215,422
412,816,422,394,86,70,108,87,145,320,0,3127,816
413,463,240,223,49,39,61,49,83,182,0,1775,463
414,326,206,120,26,31,34,28,68,139,17,936,343
415,602,335,267,61,47,68,50,111,265,0,2428,602
416,742,414,328,75,59,83,61,136,328,0,2997,742
417,989,558,431,80,79,116,98,191,425,8,4122,997
418,843,490,353,81,60,95,85,167,355,72,3310,915
419,706,403,303,90,56,90,64,139,267,73,2937,779
420,424,154,270,45,39,52,45,75,168,8,1945,432
421,313,114,199,33,28,38,33,56,125,0,1432,313
422,482,153,329,66,44,56,45,77,194,115,1896,597
423,712,674,38,94,76,79,67,129,267,0,1315,712
424,539,510,29,71,58,60,51,97,202,0,996,539
425,874,827,47,116,94,97,83,158,326,1,1615,875
426,1236,1082,154,175,110,149,96,246,460,10,2585,1246
427,802,702,100,113,71,96,63,160,299,0,1679,802
428,599,341,258,55,53,69,57,119,246,23,2370,622
429,417,238,179,38,37,48,40,83,171,1,1652,418
430,417,238,179,38,37,48,40,83,171,12,1652,429
431,460,262,198,42,40,53,44,91,190,10,1822,470
432,838,525,313,64,95,79,89,154,357,45,3236,883
433,751,471,280,57,85,71,80,138,320,64,2900,815
